id,vote,program,subvote,item,fy12,fy13,fy14
55,Commission For Human Rights And Good Governance,(unknown),Administration And Hr . Managementj;,Basic Salaries Pensionable Posts,409052942,373009240,376090000
55,Commission For Human Rights And Good Governance,(unknown),Administration And Hr . Managementj;,Medical Supplies And Services,15430000,25498500,18200000
55,Commission For Human Rights And Good Governance,(unknown),Administration And Hr . Managementj;,Training Foreign,0,1408000,0
55,Commission For Human Rights And Good Governance,(unknown),Administration And Hr . Managementj;,; &quot;•communications &amp; Information &quot;,56505066,42300000,58700000
55,Commission For Human Rights And Good Governance,(unknown),Administration And Hr . Managementj;,Hospitality Supplies And Services,43852681,28160000,62575000
55,Commission For Human Rights And Good Governance,(unknown),Administration And Hr . Managementj;,Routine Maintenance And Repair Of Buildings,6202620,0,9000000
55,Commission For Human Rights And Good Governance,(unknown),Administration And Hr . Managementj;,Routine Maintenance And Repair Of Vehicles And,78030601,92200000,112050000
55,Commission For Human Rights And Good Governance,(unknown),Administration And Hr . Managementj;,Routine Maintenance And Repair Of Machinery,0,15500000,0
55,Commission For Human Rights And Good Governance,(unknown),Administration And Hr . Managementj;,Routine Maintenance And Repair Of Office Equipment,5967402,1800000,10474548
55,Commission For Human Rights And Good Governance,(unknown),Administration And Hr . Managementj;,Employer Social Benefits Ln Cash (defined),0,1760000,0
55,Commission For Human Rights And Good Governance,(unknown),Administration And Hr . Managementj;,Acquisition Ofoffice And General Equipment,0,1967500,0
55,Commission For Human Rights And Good Governance,(unknown),Administration And Hr . Managementj;,New Construction And Other Civil Works,450000,0,0
55,Commission For Human Rights And Good Governance,(unknown),Finance And Accounts,Basic Salaries Pensionable Posts,68780361,53702400,73273000
55,Commission For Human Rights And Good Governance,(unknown),Finance And Accounts,Persona! Allowances Ln-kind,0,11820000,11820000
55,Commission For Human Rights And Good Governance,(unknown),Finance And Accounts,Fuel Oils lubricants,2192376,14030000,13110000
55,Commission For Human Rights And Good Governance,(unknown),Finance And Accounts,Training Foreign,515200,2000000,0
55,Commission For Human Rights And Good Governance,(unknown),Finance And Accounts,Educational Material Supplies And Services,0,600000,1200000
55,Commission For Human Rights And Good Governance,(unknown),Finance And Accounts,Routine Maintenance And Repair Of Vehicles And,0,8200000,10850000
55,Commission For Human Rights And Good Governance,(unknown),Finance And Accounts,Employer Social Benefits Ln Cash (defined),0,440000,900000
55,Commission For Human Rights And Good Governance,(unknown),Finance And Accounts,Acquisition Ofoftlce And General Equipment,0,6430000,5000000
55,Commission For Human Rights And Good Governance,(unknown),Audit Unit,Basic Salaries Pensionable Posts,28637572,39865200,14790000
55,Commission For Human Rights And Good Governance,(unknown),Audit Unit,Personal Allowances Ln-kind,0,11820000,11820000
55,Commission For Human Rights And Good Governance,(unknown),Audit Unit,Fuel Oils lubricants,1640000,13439000,11040000
55,Commission For Human Rights And Good Governance,(unknown),Audit Unit,Training Domestic,0,1,0
55,Commission For Human Rights And Good Governance,(unknown),Audit Unit,Educational Material Supplies And Services,0,400000,3000000
55,Commission For Human Rights And Good Governance,(unknown),Audit Unit,Other Operating Expenses,15236000,13669200,8400000
55,Commission For Human Rights And Good Governance,(unknown),Audit Unit,Employer Social Benefits Ln Cash (defined),0,400000,0
55,Commission For Human Rights And Good Governance,(unknown),Audit Unit,Acquisition Of Office And General Equipment,0,5000000,5000000
55,Commission For Human Rights And Good Governance,(unknown),Services,Basic Salaries Pensionable Posts,86176391,82988400,109535000
55,Commission For Human Rights And Good Governance,(unknown),Services,Personnel Allowances (non-discretionary),6285000,36500000,42050000
55,Commission For Human Rights And Good Governance,(unknown),Services,Fuel Oils lubricants,0,9361000,11730000
55,Commission For Human Rights And Good Governance,(unknown),Services,Other Operating Expenses,25500000,43960000,44890000
55,Commission For Human Rights And Good Governance,(unknown),Services,Acquisition Of Household &amp; Institutional Equipment,0,8500000,0
55,Commission For Human Rights And Good Governance,(unknown),Procurement Unit,Basic Salaries Pensionable Posts,33802000,70274400,49855000
55,Commission For Human Rights And Good Governance,(unknown),Procurement Unit,Personal Allowances Ln-kind,0,13120000,4620000
55,Commission For Human Rights And Good Governance,(unknown),Procurement Unit,Fuel Oils lubiicants,483000,9660000,11615000
55,Commission For Human Rights And Good Governance,(unknown),Procurement Unit,Training Domestic,1760000,400000,0
55,Commission For Human Rights And Good Governance,(unknown),Procurement Unit,Communications &amp; Information,957825,6000000,6150000
55,Commission For Human Rights And Good Governance,(unknown),Procurement Unit,Hospitality Supplies And Services,2320000,2900000,5100000
55,Commission For Human Rights And Good Governance,(unknown),Procurement Unit,Routine Maintenance And Repair Of Vehicles And,0,5200000,10150000
55,Commission For Human Rights And Good Governance,(unknown),Procurement Unit,Acquisition Of Office And General Equipment,0,4000000,0
55,Commission For Human Rights And Good Governance,(unknown),Managem Ent Information System Unit,Basic Salaries Pensionable Posts,25159914,45115200,43307000
55,Commission For Human Rights And Good Governance,(unknown),Managem Ent Information System Unit,Personal Allowances Ln-kind,0,0,660000
55,Commission For Human Rights And Good Governance,(unknown),Managem Ent Information System Unit,Fuel Oils lubricants,0,9890000,6210000
55,Commission For Human Rights And Good Governance,(unknown),Managem Ent Information System Unit,Training Foreign,0,0,1500000
55,Commission For Human Rights And Good Governance,(unknown),Managem Ent Information System Unit,Travel Out Of Country,0,0,8888880
55,Commission For Human Rights And Good Governance,(unknown),Managem Ent Information System Unit,Educational Material Supplies And Services,0,0,500000
55,Commission For Human Rights And Good Governance,(unknown),Managem Ent Information System Unit,Other Operating Expenses,4462500,7800000,22213680
55,Commission For Human Rights And Good Governance,(unknown),Managem Ent Information System Unit,Routine Maintenance And repair Of Office Equipment,6552000,7400000,3000000
55,Commission For Human Rights And Good Governance,(unknown),Managem Ent Information System Unit,Acquisitionof Office And General Equipment,0,24500000,0
55,Commission For Human Rights And Good Governance,Development,Administrative Justice,Basic Salaries Pensionable Posts,438258749,529838400,492897000
55,Commission For Human Rights And Good Governance,Development,Administrative Justice,Personal &apos;allowances Ln-kind,0,4620000,5400000
55,Commission For Human Rights And Good Governance,Development,Administrative Justice,Fuel Oils lubricants,0,31050000,17710000
55,Commission For Human Rights And Good Governance,Development,Administrative Justice,Educational Material Supplies And Services,0,0,1000000
55,Commission For Human Rights And Good Governance,Development,Administrative Justice,Other Operating Expenses,85120833,108000000,117600000
55,Commission For Human Rights And Good Governance,Development,Administrative Justice,Acquisition Of Household &amp; Institutional Equipment,0,8500000,0
55,Commission For Human Rights And Good Governance,Development,Human Rights,Basic Salaries Pensionable Posts,287882301,336850760,376538000
55,Commission For Human Rights And Good Governance,Development,Human Rights,Personal Allowances Ln-kind,0,4620000,9660000
55,Commission For Human Rights And Good Governance,Development,Human Rights,Fuel Oils lubricants,0,26450000,24668000
55,Commission For Human Rights And Good Governance,Development,Human Rights,Rental Expenses,0,19400000,3200000
55,Commission For Human Rights And Good Governance,Development,Human Rights,Hospitality Supplies And Services,0,4400000,2900000
55,Commission For Human Rights And Good Governance,Development,Human Rights,Other Operating Expenses,45345500,43200000,53720000
55,Commission For Human Rights And Good Governance,Development,Human Rights,Acquisition Of Household &amp; Institutional Equipment,0,8500000,0
55,Commission For Human Rights And Good Governance,Development,;resmirch•a•nn Documentation,Basic Salaries Pensionable Posts,88314361,64246800,111629000
55,Commission For Human Rights And Good Governance,Development,;resmirch•a•nn Documentation,Personal Allowances Ln-kind,2220000,9660000,9660000
55,Commission For Human Rights And Good Governance,Development,;resmirch•a•nn Documentation,Fuel Oils/lubricants,200000,31050000,16330000
55,Commission For Human Rights And Good Governance,Development,;resmirch•a•nn Documentation,Travel In - Country,4858500,57920000,33249456
55,Commission For Human Rights And Good Governance,Development,;resmirch•a•nn Documentation, Other Operating Expenses,22577500,28800000,40800000
55,Commission For Human Rights And Good Governance,Development,;resmirch•a•nn Documentation,Acquisition Of Household &amp; Institutional Equipment,0,8500000,0
55,Commission For Human Rights And Good Governance,Development,Public Education And Training,Basic Salaries Pensionable Posts,107715015,109542000,78616800
55,Commission For Human Rights And Good Governance,Development,Public Education And Training,Office And General Supplies And Services,0,11220000,33180000
55,Commission For Human Rights And Good Governance,Development,Public Education And Training,Clothingbedding Footwear And Services,900000,5750000,700000
55,Commission For Human Rights And Good Governance,Development,Public Education And Training,Training Domestic,0,3000000,14100000
55,Commission For Human Rights And Good Governance,Development,Public Education And Training,Travel Out Of Country,0,0,1881600
55,Commission For Human Rights And Good Governance,Development,Public Education And Training,Educational Material Supplies And Services,0,9090000,0
55,Commission For Human Rights And Good Governance,Development,Public Education And Training,Routine Maintenance And Repair Of Vehicles And,0,5200000,10150000
55,Commission For Human Rights And Good Governance,Development,Public Education And Training,Acquisition Of Household &amp; Institutional Equipment,0,8800000,0
55,Commission For Human Rights And Good Governance,Development,Public Education And Training,Communications &amp; Lnibrmation,9363100,0,0
55,Commission For Human Rights And Good Governance,Development,Public Education And Training,Routine Maintenance And Repair Of Vehicles And,549416,2080000,26080000
55,Commission For Human Rights And Good Governance,Nco Coordination,Non Government Organizations,Basic Salaries Pensionablc Posts,97086499,121686700,165438000
55,Commission For Human Rights And Good Governance,Nco Coordination,Non Government Organizations,Personal Allowances Ln-kind,5625000,10800000,13860000
55,Commission For Human Rights And Good Governance,Nco Coordination,Non Government Organizations,Fuel. Oils .lubricants,7909033,875000011,960000
55,Commission For Human Rights And Good Governance,Nco Coordination,Non Government Organizations,Communications &amp; Lniormation,0,0,600000
55,Commission For Human Rights And Good Governance,Nco Coordination,Non Government Organizations,Printing Advertizing And Information Supplies And,0,10378001,0
55,Commission For Human Rights And Good Governance,Nco Coordination,Non Government Organizations,Routine Maintenance And Repair Of Vehicles And,2700000,4800000,5000000
55,Commission For Human Rights And Good Governance,Nco Coordination,Non Government Organizations,Routine Maintenance And Repair Of Office,0,750000,750000
